ps:所有模组角色最爱礼物都有土豆，电影零食则是薯条 是我的一些小心思（目移）

枫（唐枫）
电影零食
最爱：苹果脆片,棉花糖,薯条,大糖球,爆米花,糖冰棍,酸味史莱姆,星形饼干,星之果实冰糕,松露爆米花
喜欢：黑甘草糖,鹰嘴豆泥小吃包,茉莉花茶,羽衣甘蓝汁,意式面包沙拉,个人披萨,鲑鱼汉堡,盐渍花生
讨厌：卡布奇诺慕斯蛋糕,巧克力爆米花,冰淇淋三明治,Joja可乐,Joja玉米,芝士玉米片

礼物
最爱：土豆 宝石甜梅  
标签为 -74的种子 -27的树产品 -80的花
喜欢：  
标签为 -7的菜品 -19的肥料 -23的贝壳 -26的工匠物品 -75的蔬菜 -79的水果 -81的觅食
不喜欢：
标签为 -2的宝石 -8-9的制作品 -12的矿物 -15-16的资源 -24的地板 -25的食谱 -28的怪物产品
讨厌：
标签为 -20的垃圾 -21的鱼饵 -22的鱼钩 -29的无效标签 
一般：
标签为 -4的鱼类 -5-6-14-18的动物产物 -17的松露 -95的帽子 -96的戒指 -98的武器 -99的工具 




苹果脆片"Apple Slices",                      又脆又甜的薄片
黑甘草糖"Black Licorice",                    一种有强烈刺鼻味道的耐嚼糖果
卡布奇诺慕斯蛋糕"Cappuccino Mousse Cake",    涂有卡布奇诺慕斯的小块巧克力蛋糕
巧克力爆米花"Chocolate Popcorn",             就是普通的爆米花……但是有巧克力涂层。
棉花糖"Cotton CandyCotton Candy",            一大块由拔丝糖组成的粉色云朵。
薯条"Fries",                                将切成薄片的土豆高温油炸，然后撒上少许盐
鹰嘴豆泥小吃包"Hummus Snack Pack",           它吃起来松脆又健康。
冰淇淋三明治"Ice Cream Sandwich",            在两块巧克力饼干间夹着香草冰淇淋。
茉莉花茶"Jasmine Tea",                       用芳香的茉莉花调味的绿茶。
大糖球"Jawbreaker",                          这是一颗又大又硬的糖果，够你舔一整部电影的时间！
Joja可乐"Joja Cola",                         一份超大杯的Joja招牌汽水。
Joja玉米"JojaCorn",                          Joja公司拥有专利的玉米食品，涂有大量的黄油酱。
羽衣甘蓝汁"Kale SmoothieKale Smoothie",      它富含维生素和纤维。
芝士玉米片"Nachos",                          在新鲜的油炸玉米片上涂满黏黏的、辣辣的起司。
意式面包沙拉"Panzanella Salad",              用面包和西红柿做的夏季沙拉。
个人披萨"Personal Pizza",                   小到可以当做甜点享用的披萨。
爆米花"Popcorn",                            爆开的玉米粒，撒上少许盐，淋上黄油。
糖冰棍"Rock Candy",                         香甜的糖晶体依附在一根简单的棍子上。
鲑鱼汉堡"Salmon Burger",                    一块厚实的三文鱼放在一个轻微烘烤过的芝麻籽小圆面包上。	
盐渍花生"Salted Peanuts",                   经典的咸味零食。	
酸味史莱姆"Sour Slimes",                    小的颜色各异的史莱姆软糖。
星形饼干"Star Cookie",                      撒有彩虹糖针的星形酥脆饼干。	
星之果实冰糕"Stardrop Sorbet",              一滴星之果实的精华让这冰糕有非凡的滋味
松露爆米花"Truffle Popcorn",                传家宝手艺制作的爆米花撒上松露盐。	









